id,name,description,price,category,image
1001,Rendang Daging,Daging sapi empuk dengan bumbu rendang khas Padang,35000.0,Makanan,
1002,Gulai Ayam,Ayam dengan kuah gulai santan yang gurih,28000.0,Makanan,
1003,Gulai Ikan,Ikan kakap dengan kuah gulai kuning,32000.0,Makanan,
1004,Ayam Pop,Ayam goreng khas Padang yang renyah di luar lembut di dalam,30000.0,Makanan,
1005,Dendeng Balado,Dendeng sapi tipis dengan sambal balado pedas,38000.0,Makanan,
1006,Gulai Otak,Otak sapi dengan kuah gulai santan,25000.0,Makanan,
1007,Gulai Limpa,Limpa sapi dengan kuah gulai khas Padang,24000.0,Makanan,
1008,Gulai Usus,Usus sapi dengan kuah gulai santan gurih,24000.0,Makanan,
1009,Terong Balado,Terong goreng dengan sambal balado,14000.0,Makanan,
1010,Kacang Panjang Balado,Kacang panjang dengan sambal balado,14000.0,Makanan,
1011,Nasi Putih,Nasi putih hangat,5000.0,Makanan,
1012,Nasi Kuning,Nasi kuning khas Padang,8000.0,Makanan,
1013,Sambal Ijo,Sambal hijau pedas khas Padang,5000.0,Makanan,
1014,Sambal Merah,Sambal merah pedas,5000.0,Makanan,
1015,Sambal Balado,Sambal balado dengan cabai merah,5000.0,Makanan,
1016,Es Teh Manis,Es teh manis segar,5000.0,Minuman,
1017,Es Jeruk,Es jeruk segar,8000.0,Minuman,
1018,Teh Tawar Panas,Teh tawar panas,3000.0,Minuman,
1019,Kopi Hitam,Kopi hitam khas Padang,8000.0,Minuman,
1020,Air Mineral,Air mineral dingin,3000.0,Minuman,
1021,Kerupuk Jangek,Kerupuk kulit sapi khas Padang,8000.0,Lain-lain,
1022,Kerupuk Sanjai,Kerupuk singkong khas Padang,10000.0,Lain-lain,
1023,Perkedel Kentang,Perkedel kentang goreng,8000.0,Lain-lain,
1024,Perkedel Jagung,Perkedel jagung manis,8000.0,Lain-lain,
